ID,Product,Category,Subcategory,Image_URL,Price
83,Dove Body Wash 500Ml (Nourishing Silk),Skin Care,"Soaps, Shower Oils & Gels",https://i.postimg.cc/J7X2PS9C/ove-nourishing-silk-Photo-Room-png-Photo-Room.png,"#7,150.00"
84,Dove Body Wash 500Ml(Gentle Scrub,Skin Care,"Soaps, Shower Oils & Gels",https://i.postimg.cc/hvFp2LRZ/dove-gentle-scrub-Photo-Room-png-Photo-Room.png,"#7,150.00"
85,Dove Purely Pampering Beauty Bar Soap *4,Skin Care,"Soaps, Shower Oils & Gels",https://i.postimg.cc/J09DM8HC/dove-pamperin-Photo-Room-png-Photo-Room.png,"#7,450.00"
86,Extract Herbal Soap (P. Calamansi) Uk,Skin Care,"Soaps, Shower Oils & Gels",https://i.postimg.cc/Kj5C9bJL/extract-herbal-soap-Photo-Room-png-Photo-Room.png,"#3,000.00"
87,F & W Gold Satin Exf. Soap 200G,Skin Care,"Soaps, Shower Oils & Gels",https://i.postimg.cc/g0jfhPsX/image-removebg-preview-5.jpg,"#7,350.00"
88,F & W So White Exfoliating Soap 200G,Skin Care,"Soaps, Shower Oils & Gels",https://i.postimg.cc/28xJX5XL/image-removebg-preview-6.jpg,"#9,200.00"
89,F & W Exclusive Soap 200G,Skin Care,"Soaps, Shower Oils & Gels",https://i.postimg.cc/bwBmKS0r/image-removebg-preview-7.jpg,"#7,150.00"
90,Makari Carotonic Savon Soap,Skin Care,"Soaps, Shower Oils & Gels",https://i.postimg.cc/zv7jpyXJ/image-removebg-preview-8.jpg,"#14,750.00"
91,Simple Micellar Shower Gel 500Ml(Water B,Skin Care,"Soaps, Shower Oils & Gels",https://i.postimg.cc/JhS3jbxc/image-removebg-preview-11.jpg,"#4,400.00"
92,Topicrem Mela Exfoliating Bar 150G,Skin Care,"Soaps, Shower Oils & Gels","https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/D/X/149912_1685296278.jpg","#10,150.00"
93,Amlactin Moisturizing Body Lotion 567G,Skin Care,Creams & Lotions,https://i.postimg.cc/PxQHTWvX/image.png,"#52,650.00"
94,Bioderma Pigmentbio Foaming Cream 500M,Skin Care,Creams & Lotions,https://i.postimg.cc/5yrKBDdP/image.png,"#39,450.00"
95,Cosrx Adv Snail 92 All In One Cream 100G,Skin Care,Creams & Lotions,https://i.postimg.cc/kXW60ZfK/image.png,"#17,500.00"
96,Dr Teal'S Body Lotion 532Ml(Citrus,Skin Care,Creams & Lotions,https://i.postimg.cc/mgnG8DtN/image-removebg-preview-14.jpg,"#10,500.00"
97,F & W Gold Body Lotion 500Ml 2 (Revtaliz,Skin Care,Creams & Lotions,https://i.postimg.cc/W1KB0WcY/image.png,"#16,900.00"
98,F & W So White Moist. Body Milk 500Ml,Skin Care,Creams & Lotions,https://carefortepharm.com/wp-content/uploads/2021/08/so-white.jpg,"#22,800.00"
99,Makari Extreme Body Milk 500Ml,Skin Care,Creams & Lotions,https://i.postimg.cc/PrV9k3Jf/image.png,"#97,100.00"
100,Medix 55 Vit C Turmeric Firm Cream 444Ml,Skin Care,Creams & Lotions,https://sttori.com.ng/wp-content/uploads/2020/11/sttori_ltd_13.jpg,"#18,900.00"
101,Mesoestetic Derma Acne One 50Ml,Skin Care,Creams & Lotions,https://i.postimg.cc/Y0hNN3H8/image.png,"#50,550.00"
102,Neo-Presol Acne/After Shave Lotion,Skin Care,Creams & Lotions,https://i.postimg.cc/Y2ZQKQkK/image.png,"#3,300.00"
103,Nivea Body Lotion Rich Nourishing 400Ml,Skin Care,Creams & Lotions,https://i.postimg.cc/g29zRDkX/nivea-5-in-1-rich-nourishing-Photo-Room-png-Photo-Room.png,"#4,300.00"
104,Nivea B/Lotion 400Ml (N/F) (P & Radiant),Skin Care,Creams & Lotions,https://i.postimg.cc/Kj0cn6b3/image.png,"#4,850.00"
105,Nivea Body Lotion 400Ml (Express Hydrati,Skin Care,Creams & Lotions,https://i.postimg.cc/x15sMkg5/nivea-express-hydration-Photo-Room-png-Photo-Room.png,"#4,300.00"
106,Nivea Fresh & Healty Gel B/Lotion (Aloe,Skin Care,Creams & Lotions,https://i.postimg.cc/3xS6DQ97/nivea-gel-body-lotion-refreshing-care-Photo-Room-png-Photo-Room.png,"#6,750.00"
107,Nivea Men Deep Impact Lot 400Ml (N/Skin,Skin Care,Creams & Lotions,https://i.postimg.cc/m2Hpc355/nivea-men-deep-impact-Photo-Room-png-Photo-Room.png,"#4,850.00"
108,Nivea Fresh & Healthy Gel B/Lotion (Rose,Skin Care,Creams & Lotions,https://i.postimg.cc/SR3ygL6P/nivea-oil-in-lotion-rose-Photo-Room-png-Photo-Room.png,"#7,650.00"
109,Qei+ Active H/Repar(Carrot Lotion)500Ml,Skin Care,Creams & Lotions,https://i.postimg.cc/zfwrCsSD/image.png,"#31,400.00"
110,Topicrem Da Emollient Balm 500Ml,Skin Care,Creams & Lotions,"https://www-konga-com-res.cloudinary.com/w_auto,f_auto,fl_lossy,dpr_auto,q_auto/media/catalog/product/J/S/174185_1623757078.jpg","#40,500.00"
111,Topicrem Mela Unifying Ultra/M.Milk 500M,Skin Care,Creams & Lotions,https://tosnigeria.com/wp-content/uploads/2023/05/Topicrem-mela.png,"#67,500.00"
112,Vaseline Healthy Even Tone Cream 400Ml,Skin Care,Creams & Lotions,https://i.postimg.cc/02wkFWK8/vaseline-intensive-care-body-cream-Photo-Room-png-Photo-Room.png,"#4,700.00"
113,Vaseline I/Care Cocoa Radiant B/Oil 200M,Skin Care,Creams & Lotions,https://tosnigeria.com/wp-content/uploads/2022/03/Vaseline-cocoa-radiant-body-oil-6.8-fl-oz-1.jpg,"#21,600.00"
114,Vaseline Intensive Care Lot 400Ml(D.S/Re,Skin Care,Creams & Lotions,https://i.postimg.cc/k4GDKV2d/image-removebg-preview-17.jpg,"#5,350.00"
115,Always Ultra Thin Pads * 6 (Extra Long),Personal Care,Sanitary Pads,https://images.deliveryhero.io/image/menus-glovo/products/59b4b7e9159903515b3aebbe78b6fec8d482a0e3844e9c77ecae2cc1be70f156?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7IndpZHRoIjoxNTAsImhlaWdodCI6MTUwfX1d,"#1,600.00"
116,Royal Princess Sanitary Pads*7 (Ex/Long),Personal Care,Sanitary Pads,https://images.deliveryhero.io/image/menus-glovo/products/1ac2a7d08b76f48cfcbda35b893d984d1cceae863fa5196ce0a9c377831d4798?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,#900.00
117,Tampax * 20 Tampons (Regular),Personal Care,Tampons,https://images.deliveryhero.io/image/menus-glovo/products/df58e3f4b6bf36b9780b78e4a6a0b420e51013f4fe994e828d4db4e11228fb71?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,"#7,600.00"
118,Tampax Super Plus * 20,Personal Care,Tampons,https://i.postimg.cc/02hTyW4j/TAMPAX-SUPER-PLUS-20-Photo-Room-png-Photo-Room.png,"#7,600.00"
119,Femfresh Intimate Daily Wash 250Ml,Personal Care,Pantyliners,https://i.postimg.cc/KvL0n39x/FEMFRESH-INTIMATE-DAILY-WASH-250-M-Photo-Room-png-Photo-Room.png,"#6,250.00"
120,Femfresh Sensitive Intimate Wash 250Ml,Personal Care,Pantyliners,https://i.postimg.cc/Hk93NDDN/FEMFRESH-SENSITIVE-INTIMATE-WASH-250-ML-Photo-Room-png-Photo-Room.png,"#6,250.00"
121,Listerine Mouthwash 250Ml(Cool Mint),Personal Care,Mouthwashes,https://images.deliveryhero.io/image/menus-glovo/products/893a1526195d0da039269fce433784546c994eee545ac87aaca7582e44e88952?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,"#4,750.00"
